"uri","creators","rkdartists_label","rkdartists_uri"
"http://data.collectienederland.nl/resource/document/rijksakademie/0876","Anna Wijthoff","Anna Wijthoff","https://data.rkd.nl/artists/127551"
"http://data.collectienederland.nl/resource/document/rijksakademie/1136","Anna Wijthoff","Anna Wijthoff","https://data.rkd.nl/artists/127551"
"http://data.collectienederland.nl/resource/document/rijksakademie/0881","Karin Scheffer","Karin Scheffer",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0888","Bertha Valkenburg","Bertha Valkenburg","https://data.rkd.nl/artists/90806"
"http://data.collectienederland.nl/resource/document/rijksakademie/1112","Bertha Valkenburg","Bertha Valkenburg","https://data.rkd.nl/artists/90806"
"http://data.collectienederland.nl/resource/document/rijksakademie/0889","Maurits W. van der Valk","Maurits W. van der Valk",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0898","Louis Storm van 's Gravesande","Louis Storm van 's Gravesande",""
"http://data.collectienederland.nl/resource/document/rijksakademie/0901","Louis Storm van 's Gravesande","Louis Storm van 's Gravesande",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1130","Jan van Oort","Jan van Oort","https://data.rkd.nl/artists/338508"
"http://data.collectienederland.nl/resource/document/rijksakademie/0920","Simon Moulijn","Simon Moulijn","https://data.rkd.nl/artists/58027"
"http://data.collectienederland.nl/resource/document/rijksakademie/0924","Anton Molkenboer","Anton Molkenboer","https://data.rkd.nl/artists/56719"
"http://data.collectienederland.nl/resource/document/rijksakademie/0929","Tiete van der Laars","Tiete van der Laars","https://data.rkd.nl/artists/88859"
"http://data.collectienederland.nl/resource/document/rijksakademie/0930","Tiete van der Laars","Tiete van der Laars","https://data.rkd.nl/artists/88859"
"http://data.collectienederland.nl/resource/document/rijksakademie/0932","Arnold Koning","Arnold Koning","https://data.rkd.nl/artists/45596"
"http://data.collectienederland.nl/resource/document/rijksakademie/0933","Ferdinand Hart Nibbrig","Ferdinand Hart Nibbrig","https://data.rkd.nl/artists/224445"
"http://data.collectienederland.nl/resource/document/rijksakademie/0934","Pieter Dupont","Pieter Dupont","https://data.rkd.nl/artists/24940"
"http://data.collectienederland.nl/resource/document/rijksakademie/0936","Pieter Dupont","Pieter Dupont","https://data.rkd.nl/artists/24940"
"http://data.collectienederland.nl/resource/document/rijksakademie/0937","Pieter Dupont","Pieter Dupont","https://data.rkd.nl/artists/24940"
"http://data.collectienederland.nl/resource/document/rijksakademie/0938","Pieter Dupont","Pieter Dupont","https://data.rkd.nl/artists/24940"
"http://data.collectienederland.nl/resource/document/rijksakademie/0939","Pieter Dupont","Pieter Dupont","https://data.rkd.nl/artists/24940"
"http://data.collectienederland.nl/resource/document/rijksakademie/0940","Pieter Dupont","Pieter Dupont","https://data.rkd.nl/artists/24940"
"http://data.collectienederland.nl/resource/document/rijksakademie/3079","Pieter Dupont","Pieter Dupont","https://data.rkd.nl/artists/24940"
"http://data.collectienederland.nl/resource/document/rijksakademie/0935","Arnold M. Gorter","Arnold M. Gorter",""
