"uri","type","aat_label","aat_uri"
"http://data.collectienederland.nl/resource/document/rijksakademie/0375","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0356","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0340","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0334","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0323","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0312","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0307","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0294","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0291","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0283","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0269","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0266","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0255","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0250","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0220","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0219","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0217","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0214","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0211","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0206","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0196","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0190","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0182","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0179","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0171","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0165","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0157","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0146","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0138","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0122","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0121","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0092","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0065","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0057","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0053","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/6087","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0554","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0520","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0519","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0517","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0515","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0459","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0457","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0445","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0442","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0436","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0429","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0421","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0412","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0395","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0387","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
"http://data.collectienederland.nl/resource/document/rijksakademie/0376","ets","etsen (prenten)","http://vocab.getty.edu/aat/300041365"
