Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2748000;Roermond;Roermond;Remunj,Reurmond,Roermond,Ruremonde,Rurmond,Rurmonda,Rurmondas,lu er meng de,rurumonto,rwrmwnd,Рурмонд,Рурмонда,رورموند,ルールモント,鲁尔蒙德;P;PPL;NL;Netherlands;;05;0957;;;44975;;31;Europe/Amsterdam;2017-10-17;Netherlands;51.19417,5.9875
2748091;Rijsbergen;Rijsbergen;;P;PPL;NL;Netherlands;;06;0879;;;4140;;9;Europe/Amsterdam;2017-10-17;Netherlands;51.5175,4.69722
2748094;Rijpwetering;Rijpwetering;;P;PPL;NL;Netherlands;;11;1884;;;1605;;0;Europe/Amsterdam;2017-10-17;Netherlands;52.1925,4.58333
2748457;Princenhage;Princenhage;Prinsenhage;P;PPLX;NL;Netherlands;;06;0758;;;8535;;7;Europe/Amsterdam;2022-01-14;Netherlands;51.57632,4.73906
2748710;Passart;Passart;;P;PPLX;NL;Netherlands;;05;0917;;;2010;;90;Europe/Amsterdam;2017-03-24;Netherlands;50.92389,5.94674
2749034;Oude Pekela;Oude Pekela;;P;PPL;NL;Netherlands;;04;0765;;;7580;;0;Europe/Amsterdam;2017-10-17;Netherlands;53.10417,7.00972
2749296;Opheusden;Opheusden;;P;PPL;NL;Netherlands;;03;1740;;;5460;;9;Europe/Amsterdam;2017-10-17;Netherlands;51.93167,5.63194
2749430;Eastermar;Eastermar;Eastermar,Oostermeer;P;PPL;NL;Netherlands;;02;0737;;;1310;;1;Europe/Amsterdam;2017-10-17;Netherlands;53.17466,6.05999
2750484;Neder-Hardinxveld;Neder-Hardinxveld;Neder Hardingsveld,Neder-Hardinxveld;P;PPLX;NL;Netherlands;;11;0523;;;5335;;0;Europe/Amsterdam;2017-03-24;Netherlands;51.82879,4.85489
2750630;Monster;Monster;Monster,Монстер;P;PPL;NL;Netherlands;;11;1783;;;11580;;3;Europe/Amsterdam;2017-10-17;Netherlands;52.02583,4.175
