Type;
olielamp;
hoekstuk;
gebedenboek;
ex-voto;
tabaksdoos;
lavabobekken;
icoon;
brandmerk;
lunula;
fibula;
ornament;
flabellum;
kusreliekhouder;
lezenaar;
missaal;
driekoningenkandelaar;
speelgoedmonstrans;
speelgoedciborie;
speelgoedampul;
speelgoedwierookscheepje;
echtheidsverklaring;
collectebus;
vaas;
kaarsenbank;
speelgoedampullenblad;
broederschapspenning;
schoengesp;
presse-papier;
speeldoos;
offerblok;
collecteblok;
pelgrimsfles;
reliekmonstrans;
inktpot;
gildenketen;
cliché;
voetwasbekken;
voetwaskan;
sleutelhanger;
pausmunt;
kist;
mes;
vork;
geuzenpenning;
armenpenning;
broodpenning;
diaconiepenning;
asschaal;
broche;
velum;
avondmaalsbeker;
brandewijnkom;
geboortelepel;
wandbord;
devotieplaat;
asbak;
gildenpenning;
stempelapparaat;
wafelijzer;
pelgrimsteken;
pausbel;
naamplaat;
borstbeeld;
medaille;
memorieplaat;
beurs;
ziekenbeurs;
stafbekroning;
processiestafbekroning;
broedermeestersstafbekroning;
vaandelbekroning;
scepter;
processiestaf;
staf;
vaandelstok;
broedermeesterstaf;
speld;
horloge;
etui;
bisschopsstaf;
expositietroon;
pincet;
hostietang;
reliekkist;
koorkapsluiting;
pomellum;
(prot.);
boekband;
Godspenning;
Benedictuspenning;
scapulierpenning;
bouwpenning;
prijspenning;
insigne;
presentiepenning;
schildering;
achterglasschildering;
glasschildering;
orgelluik;
aquarel;
lijst;
memorietafel;
grisaille;
pastel;
rouwbord;
weefsel;
fluweel;
ciseléfluweel;
linnenweefsel;
katoenweefsel;
damast;
zijdeweefsel;
ripszijde;
gaas;
lampas;
reliëffluweel;
liseréweefsel;
cannelé;
gros de Tours;
lancéweefsel;
dubbelweefsel;
halfzijde;
brocatel;
geperst fluweel;
tapisserieweefsel;
pekin;
brochéweefsel;
franje;
galon;
samiet;
cannelé simpleté;
fluweel met uitsparingen;
gesneden fluweel;
wolweefsel;
ripsweefsel;
droguet;
cannetillé;
reliekomhulsel;
moiré;
louisine;
halflinnen;
koorkap;
kazuifel;
Kölner Borte;
manipel;
kazuifelkruis;
kazuifelkolom;
kelkvelum;
kelkdoek;
schoudervelum;
epigonation;
(r.-k.);
vaandel;
antependium;
merklap;
altaarvoorzet;
kussenovertrek;
scapulier;
gaffelkruis;
koorkapschild;
palladoos;
dalmatiek;
wandkleed;
aurifries;
cingel;
altaarrand;
profane kleding;
kindermuts;
ciborievelum;
sacramentsvaan;
sluiting;
stoelovertrek;
jak;
lofstola;
communiedoek;
processiegoed;
preekstola;
benedictiedoek;
kwast;
expositietroongordijn;
diakenstola;
processieparasol;
baldakijn;
amict;
corporale;
ambtsgewaad;
toog;
jas;
sjerp;
hoed;
kapelaanshoed;
bef;
bonnet;
ordekleding;
boord;
schoudermantel;
ceintuur;
koormantel;
pij;
kap;
schoeisel;
sandaal;
habijt;
guimpe;
sluier;
broek;
kous;
collaar;
jurk;
muts;
mouw;
halsdoek;
hoofdband;
hul;
schort;
zak;
rok;
hemd;
kraag;
lezenaarskleed;
vaan;
kruisfoedraal;
doopjurk;
kalot;
memoriedoek;
vlag;
kindertoog;
rouwvaan;
hongerdoek;
baarkleed;
rouwbekleding;
loper;
rochet;
kindersuperplie;
misdienaarstoog;
monstransdrager;
steek;
doopkleed;
kinderkazuifel;
vest;
mantelletta;
schoen;
handschoen;
mozetta;
sjaal;
bedieningsstola;
communietas;
cape;
maillot;
holster;
hoedendoos;
ketting;
zwaard;
kousenband;
baret;
uniform;
stropdas;
tuniek;
misdienaarssuperplie;
gremiale;
mijter;
kardinaalshoed;
cappa magna;
kardinaalsmantelletta;
kindercingel;
kinderalbe;
rouwsjerp;
kinderstola;
kindermanipel;
speelgoedkelkvelum;
lezenaarsvelum;
passiedoek;
missaallint;
souvenir;
band;
knielbank;
bandweefsel;
onderjurk;
ciboriedrager;
hoes;
pentekening;
gewassen pentekening;
penseeltekening;
collage;
altaarsteen;
tegel;
vloertegel;
bedevaartssouvenir;
doopschelp;
zegenformulier;
bijbeltegel;
studieplank;
standaard;
meubilair;
tafel;
stoel;
brandkast;
kast;
tegeltableau;
klepper;
kurk;
miniatuurschildering;
behang;
passiekruis;
stolp;
narwaltand;
replica;
ratel;
reliekdoos;
bord;
wandtegel;
diorama;
snuifdoos;
spaarpot;
postzegel;
serviesgoed;
pausreliek;
soepkom;
glas;
kaars;
kaarsenmaker;
staakbeeld;
Mariakleding;
fles;
collectebak;
knikengel;
rouwkandelaar;
collectezak;
lamellenprent;
brochure;
tijdschrift;
poëzieplaatje;
kerststal;
kerstwieg;
wieg;
vrijmetselaarsattribuut;
schootsvel;
pochet;
manchetknoop;
knoop;
herdenkingsbord;
evangelisatiemateriaal;
sticker;
T-shirt;
folder;
bidstoel;
communieservies;
kop;
eierdop;
gedenkboek;
wierookstelstandaard;
speelgoedaltaar;
speelgoedaltaardwaal;
speelgoeddwaal;
speelgoedkelklepel;
verkoopcatalogus;
snoepgoed;
werpsteen;
voorbeeldmateriaal;
adventsmateriaal;
huwelijksoorkonde;
doopprent;
inktstel;
aflaat;
bijbelplaat;
speelgoedwijwateremmer;
speelgoedwijwaterkwast;
speelgoedaltaarbel;
speelgoedcanonbord;
speelgoedgodslamp;
wierookkorrel;
speelgoedaltaarrand;
speelgoedmissaal;
speelgoedpalla;
altaarwijdingsformulier;
missiebus;
Petrusketting;
bladwijzer;
messchede;
Tarcisiusblad;
lidmaatschapskaart;
lucifer;
map;
plakzegel;
apostolisch zegenformulier;
kinderamict;
speelgoedreliekhouder;
speelgoedantependium;
kinderpreekstola;
speelgoeddraaitabernakel;
lithofanie;
nachtlamp;
tekstbord;
kruik;
offerbus;
altaarkist;
brief;
ster;
communiekalender;
bidsnoer;
bedieningskist;
speelgoedaltaarkruis;
speelgoedknielbank;
jubileummateriaal;
dodenmasker;
grafsteen;
entreebewijs;
pijpenstander;
notitieblokhouder;
koorgestoelte;
kapstok;
stempelrek;
mozaïek;
koffer;
aalmoezenierskoffer;
wijwaterkwast;
oliebus;
kacheltegel;
beddenplank;
gesteente;
reliekglas;
kachelscherm;
koorhek;
kozijn;
koekplank;
kruithoorn;
bisschopsring;
kogel;
kam;
draaitabernakel;
pilaster;
likprent;
zeefdruk;
slikprent;
rouwbrief;
lijngravure;
heliotype;
clair-obscur;
opticaprent;
letterdruk;
krantenknipsel;
crayon manier;
coraline;
Genuese kloskant;
Iers haakwerk;
Spaanse naaldkant;
venise à la rose;
venise au lacet;
renaissancekant;
Vlaamse lintkant;
Brugse kant;
Perzisch ajour;
fils tirés;
haardplaat;
mezoeza;
vingerrozenkrans;
schaal;
abtsstaf;
zegelring;
kroes;
inktkoker;
borststuk;
hekwerk;
wierooklepel;
mouchedoos;
dooplepel;
herdersstafbekroning;
sleutelring;
loddereindoos;
vormkrans;
galvano;
blaker;
beaardingskist;
tafelbel;
huwelijksring;
wandblaker;
driekoningenbeker;
thabor;
troffel;
cache-pot;
pateenfoedraal;
vuurpot;
avondmaalsloodje;
spiegel;
-3;
-2;
mexicaine;
taquetéweefsel;
-1;
biechtstola;
blouse;
speelgoedbeurs;
rouwversiering;
doek;
schoorsteenval;
textiel;
speldenkussen;
kaper;
regenkleed;
muiltje;
ablutiedoos;
schelkoord;
gewassen penseeltekening;
bureau;
boekenkast;
afdruk;
gebedsrol;
altaarmodel;
hostie;
houtblok;
kapiteel;
gesel;
pistool;
haardsteen;
ei;
pot;
pijl;
hangtablet;
reliekkast;
beeldenkast;
zandloper;
koker;
wapenbord;
knipwerk;
pijpenkop;
bedieningskast;
leer;
zilverleer;
bloembak;
theecomfoor;
kaarsenscherm;
stoof;
geduldfles;
sigarettenkoker;
doodskist;
urn;
reliekschildering;
koffiepot;
kom;
melkkan;
suikerpot;
voetenbank;
speelgoedpateen;
rozenkransdop;
gevelbord;
gedachtenisprent;
knipprent;
naamfeestprent;
aflaatprent;
doodsprent;
certificaat;
handwerk;
briefkaart;
levensbeschrijving;
gedenkprent;
daguerreotype;
kaartspel;
bouwtekening;
Venetiaanse kloskant;
tule op tule;
Milanese naaldkant;
Tenerifewerk;
kantpatroon;
speelgoedlavabobekken;
speelgoedschep;
doodskop;
bisschopsstafbekroning;
stapelbeker;
missaallinthouder;
kaarsendover;
zwavelstokkendoos;
hamer;
schaar;
komfoor;
gewichtendoos;
archiefkist;
button;
taf;
reliekbeurs;
overtrek;
boekomslag;
kledinghoes;
wurgdoek;
pantoffel;
ganzenveer;
zondagsschoolmateriaal;
beloningsplaatje;
lampion;
hoofdkussen;
kanunniksmantel;
pen;
pennenmes;
bruidskist;
nap;
haarschildering;
orgel;
doornenkroon;
standbeeld;
ark van het verbond;
perspectiefkast;
beenderhuis;
reliëfkaart;
verhoogde reliëfkaart;
tichelsteen;
stereofoto;
ceremoniële objecten;
Estherrol;
fossiel;
aanwijsstok;
opgezet dier;
tranenfles;
tranenschaal;
armband;
sieraad;
etiket;
tak;
vitrine;
ostracon;
stèle;
stenen tafelen;
sjofar;
menora;
wasvat;
reukofferaltaar;
waterwagen;
borstschild;
toramantel;
chanoekalamp;
tefillien;
arba kanfot;
talliet;
altaargereedschap;
schep;
bijl;
voorhang;
muziekrol;
tang;
hark;
korenaar;
tulband;
brandofferaltaar;
vorkhaak;
podium;
toonbrood;
offertafel;
rek;
ketel;
haak;
sjabti;
amulet;
kleitablet;
canope;
canopenschrijn;
scarabee;
mummie;
sarcofaag;
schedel;
mummiewindsel;
karton (werktekening);
stereokijker;
toga;
missieprent;
lidmaatschapsprent;
kaart;
muurkrant;
credenskleed;
Vlaamse kant;
wierookvatstandaard;
pelgrimsampul;
huwelijksinsigne;
avondmaalsbord;
broodschaal;
strik;
speelgoedwierooklepel;
speelgoedvaas;
speelgoedhostiestempel;
koorkandelaar;
vingerhoed;
reiskelk;
reispateen;
vlagbekroning;
boetegordel;
beaardingsschep;
prijs;
blik (houder);
logo;
condoom;
doopbekken;
avondmaalskan;
reisavondmaalsstel;
broeksknoop;
vierluik;
briefopener;
pijpenstopper;
hostieschaal;
codicil;
keten;
beslag;
schoorsteenstuk;
das;
ondermouw;
huisaltaarkleed;
avondmaalskleed;
tafellaken;
kepie;
gebedsmantel;
lint;
kinderkoorkap;
kinderscapulier;
kinderbonnet;
speelgoedciboriekleed;
speelgoedcorporale;
speelgoedpateenfoedraal;
speelgoedkelkdoek;
kinderrochet;
wimpel;
herderskleding;
hes;
herdersstaf;
communiehoed;
pet;
korset;
doopmuts;
kraamklopper;
kinderhabijt;
doodshemd;
overhemd;
baton;
communiejurk;
rugzak;
vaandelschoen;
fietsvlag;
collectetas;
concordantie;
dooptuin;
psalmbord;
sigarenband;
wijwaterkruik;
film;
vriendschapsglas;
onderwijsmateriaal;
lesrooster;
smuiger;
paussouvenir;
koekvorm;
herinneringsbord;
predikantenbord;
theebus;
puzzel;
bedieningsdoos;
collectesorteermeubel;
bedevaartspijp;
pelgrimshoorn;
kwartetspel;
cassetteband;
kinderboek;
dia;
portemonnee;
dankzegging;
stalenboek;
lantaarnplaatje;
doopkaars;
mistijdenbord;
speelgoedkan;
fournituur;
grammofoonplaat;
wandtekst;
kleurplaat;
diaprojector;
onderzetter;
harmonium;
kruk;
gong;
speelgoedexpositietroon;
speelgoedtabernakel;
vloerkleed;
paasgroep;
zeep;
prikpen;
gedachteniskruis;
bijbeltekst;
bedieningsstel;
handdoekhouder;
houder;
borstel;
kammenbak;
tondeldoos;
assemblage;
doopkan;
compact disc;
hoofddoek;
halsband;
lot;
gedicht;
doopbeker;
torenhaan;
trechter;
doopboog;
servet;
diakonessenkleding;
harmoniumloper;
rouwstrik;
ouderlingenkleding;
vlinderdas;
collectantenkleding;
zakdoek;
feitel;
bijbelomslag;
doopbank;
zendingsbus;
organola;
geldtelplank;
herinneringskleed;
Leger des Heilsmateriaal;
aandeel;
avondmaalsstel;
broodplank;
maatblok;
gewicht;
collectezeef;
collectesorteerbak;
beenblok;
herinneringslepel;
gevelsteen;
reiskostenschaal;
toverlantaarn;
pleister;
deurnaald;
grafkruis;
paaskaarsstift;
broodmand;
wandhaak;
beugeltas;
ablutievat;
lavabokan;
sierzwaard;
attribuut;
wijwaterbus;
H. Geest-armenpenning;
stofvignet;
patroon;
kerkvaan;
camail;
onderhemd;
kinband;
planeta plicata;
kinderschoudervelum;
speelgoedalbe;
kinderpij;
vaandelkwast;
koord;
antimensium;
speelgoedschoudervelum;
speelgoedamict;
doodslaken;
communiestrik;
rozet;
kinderrok;
kindermijter;
paaskandelaar;
zoutvat;
toorts;
beddenbank;
bierpul;
transformator;
weefapparaat;
speelgoedaltaarkan;
speelgoedhostiedoos;
speelgoedtoog;
speelgoedkazuifel;
speelgoedstola;
speelgoedmanipel;
speelgoedwierookvatstandaard;
speelgoedrochet;
speelgoedconopeum;
speelgoedaltaarvaas;
biechtbewijsschuif;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
