"File","rdf:RDF - edm:ProvidedCHO - rdf:about","rdf:RDF - edm:ProvidedCHO - dc:type - skos:Concept - rdf:about","dc:type_URI","rdf:RDF - edm:ProvidedCHO - dcterms:medium - rdf:resource","dcterms:medium_URI","rdf:RDF - edm:ProvidedCHO - dcterms:medium","rdf:RDF - edm:ProvidedCHO - edmfp:technique - rdf:resource","edmfp:technique_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique","rdf:RDF - edm:ProvidedCHO - edmfp:technique - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description","rdf:RDF - edm:ProvidedCHO - dc:identifier","rdf:RDF - edm:ProvidedCHO - dc:title - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:title","rdf:RDF - edm:ProvidedCHO - edm:type","rdf:RDF - edm:ProvidedCHO - dcterms:created - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:created","rdf:RDF - ore:Aggregation - rdf:about","rdf:RDF - ore:Aggregation - edm:aggregatedCHO - rdf:resource","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:hasView - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownAt - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownBy - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:rights - rdf:resource"
"Item_34264622.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02270","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Groene spiegeldamasten japon rok of wagd met regelmatig ruitvormig patroon in wit. Het model is zeer wijd. Aan de voorkant enkele plooien. Achterzijde is geheel geplooid in taille. Gespleten aan weerszijden. Onderrand met een koordje afgezet. Oprijg bovenin.","ZOV-02270","nl","Groene spiegeldamasten japon rok of wagd","IMAGE","nl","1900/1924","localID/europeana-fashion/Aggregation_ZOV-02270","localID/europeana-fashion/ZOV-02270","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02270.JPG","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02270.JPG","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264622.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10035","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264623.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02278","","","","http://vocab.getty.edu/aat/300014069","linnen","","","linnen","","nl","nl","Japonrok of wagd van katoen. Op wit fond fijn zwart rankenmotief waartussen architectuurornamentjes, wit gevoerd. Zeer wijd model, in plooien aangezet onder de met een zwart motiefje doorwerkte taileband. Voering loopt niet tot boven aan toe en is jonger dan rok. Achter platte plooien voor gerimpeld. Split rechts voor sluit met haak en oog. Van onder afgezet met bruin wit koordje. Bij split in verbleekt rood garen gemerkt V ? en geschreven H of V van Vleuten. Boven voering oprijg en nieuw ingezet stuk.","ZOV-02278","nl","Japonrok of wagd van katoen","IMAGE","","","localID/europeana-fashion/Aggregation_ZOV-02278","localID/europeana-fashion/ZOV-02278","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02278.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02278.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264623.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10035","","http://thesaurus.europeanafashion.eu/thesaurus/10355","","linnen","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264624.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02284","","","","","","","","","","nl","nl","Roodwitte rok of wagd van sits en linnen. Groot, rood bloemmotief op wit fond. Wit linnen gevoerd. Zeer wijd model met plooien gezet aan de met een rood motiefje doorwerkte tailleband. Split van achteren. Linksvoor licht gerimpeld. Afgewerkt met koordje.","ZOV-02284","nl","Roodwitte rok of wagd van sits en linnen","IMAGE","nl","1800","localID/europeana-fashion/Aggregation_ZOV-02284","localID/europeana-fashion/ZOV-02284","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02284.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02284.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264624.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10035","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264625.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02310","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Witte sitsen wagd of rok met fijn dicht rankpatroon in blauw, zwart en wit. Model met één naad. De onderkant afgewerkt met een blauw koord. Voering witte katoen.","ZOV-02310","nl","Sitsen wagd of rok","IMAGE","nl","1800/1824","localID/europeana-fashion/Aggregation_ZOV-02310","localID/europeana-fashion/ZOV-02310","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02310.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02310.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264625.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10434","","","http://vocab.getty.edu/aat/300231565","textiel","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264625.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
"Item_34264626.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02317","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Panier gemaakt van twee ovalen hoepels van walvisbalein ingenaaid in een korte rok. De rok is gemaakt van verticaal gestreept wollen grein (gekalanderde stof). Ondergoed voor een vrouw in de 18e eeuw, bedoeld om de bovenrok wijd te doen uitstaan. De rok bestaat uit 6 panden; de voor-en achterkant zijn identiek. De hoepels zijn eerst omgewerkt met stof en pas daarna in de rok ingenaaid. Sluiting links en rechts in de taille met behulp van haken en ogen.","ZOV-02317","nl","Ovalen panier of hoepelrok","IMAGE","nl","1750/1800","localID/europeana-fashion/Aggregation_ZOV-02317","localID/europeana-fashion/ZOV-02317","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02317.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02317.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264626.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10434","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264627.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02323","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Katoenen kassekien of jak. Bruin met zwart bedrukt patroon van een bladmotief met vier witte nopjes omgeven door fijn rankmotief. Voering van lichtbruin met witte ruit. Driekwart model, voorpanden uit één stuk en rug met een middennaad, sterk getailleerd. Lange mouwen met sluitbandje, die vallen over de handen. Lage halsuitsnijding, voorsluiting met haken en ogen. Hoge taille.","ZOV-02323","nl","Katoenen kassekien of jak","IMAGE","nl","1795/1805","localID/europeana-fashion/Aggregation_ZOV-02323","localID/europeana-fashion/ZOV-02323","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02323.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=ZOV-02323.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264627.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","","","","","","","","","","","","","","","","","","","","",""
"Item_34264628.xml","https://modemuze.nl/localID/europeana-fashion/ZOV-02335","","","","http://vocab.getty.edu/aat/300231565","textiel","","","textiel","","nl","nl","Sitsen kassekien of jak met een wit fond met bloem en ruiten in blauw en zwart. Voering blauw van blauw katoen met een gebloemd strooimotief. Driekwart lang model, voorpanden uit een stuk en een rug met middennaad. Halve mouw en sluiting voor met een rijgkoord, binnenband en 14 haken en ogen. Hoge rechte halsuitsnijding. Onder gemerkt: 345  B.H. van Vleuten Wormerveer.","ZOV-02335","nl","Sitsen kassekien of jak","IMAGE","nl","1785/1799","localID/europeana-fashion/Aggregation_ZOV-02335","localID/europeana-fashion/ZOV-02335","nl","Zaans Museum","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02335.jpg","https://zaansweb.adlibhosting.com/search/simple","https://zaansmuseum.adlibhosting.com/webapi/wwwopac.ashx?command=getcontent&server=images&value=zov-02335.jpg","http://www.europeanafashion.eu/","Europeana Fashion","http://creativecommons.org/publicdomain/zero/1.0/"
"Item_34264628.xml","","http://thesaurus.europeanafashion.eu/thesaurus/10042","","","http://vocab.getty.edu/aat/300231565","textiel","","","handnaaiwerk","nl","","","","","","","","","","","","","","","","","","",""
"Item_34264628.xml","","","","","","","http://thesaurus.europeanafashion.eu/thesaurus/10692","","handnaaiwerk","","","","","","","","","","","","","","","","","","","",""
