type,uri
tile tableaux,http://vocab.getty.edu/aat/300411607
maps (documents),http://vocab.getty.edu/aat/300028094
chessmen,http://vocab.getty.edu/aat/300211432
shaving basins,http://vocab.getty.edu/aat/300227367
patroontas,
buoys,http://vocab.getty.edu/aat/300262797
maquettes (sculptures),http://vocab.getty.edu/aat/300047837
productiestaat,
tarievenlijst,
pocket mirrors,http://vocab.getty.edu/aat/300242537
kan,
stoel[circusset],
turftang,
patches (quilt components),http://vocab.getty.edu/aat/300204899
corsages (costume components),http://vocab.getty.edu/aat/300220745
knibbelspel,
cases (containers),http://vocab.getty.edu/aat/300045659
comfoor,
babysok,
goblets,http://vocab.getty.edu/aat/300043236
sheaths (cases),http://vocab.getty.edu/aat/300198733
engravings (prints),http://vocab.getty.edu/aat/300041340
pamphlets,http://vocab.getty.edu/aat/300220572
sticks (object genre),http://vocab.getty.edu/aat/300014681
dinner plates,http://vocab.getty.edu/aat/300042999
smakblok,
lakkoker,
dresses (garments),http://vocab.getty.edu/aat/300046159
Leesplank,
cradles (children's beds),http://vocab.getty.edu/aat/300038847
irons (tools),http://vocab.getty.edu/aat/300185311
Bibles,http://vocab.getty.edu/aat/300264513
dresses (garments),http://vocab.getty.edu/aat/300046159
notebooks,http://vocab.getty.edu/aat/300264354
portraits,http://vocab.getty.edu/aat/300015637
speeldoos,
boekenkist,
bracelets (jewelry),http://vocab.getty.edu/aat/300045991
feestzakdoek,
prints (visual works),http://vocab.getty.edu/aat/300041273
borduurlap,
official documents,http://vocab.getty.edu/aat/300136842
lakverfschilderij,
carpets,http://vocab.getty.edu/aat/300185756
hammers (tools),http://vocab.getty.edu/aat/300024823
clappers (percussion beaters),http://vocab.getty.edu/aat/300191303
luidklok,
distinctief,
design drawings,http://vocab.getty.edu/aat/300069413
installations (visual works),http://vocab.getty.edu/aat/300047896
orderboek,
bylaws (administrative records),http://vocab.getty.edu/aat/300027433
scheepsmodel,
sleds,http://vocab.getty.edu/aat/300216402
bak,
badges,http://vocab.getty.edu/aat/300193994
schrijfkabinet[miniatuur],
door hardware,http://vocab.getty.edu/aat/300045375
distilleerketel,
trousers,http://vocab.getty.edu/aat/300209935
herdenkingsobject,
table knives,http://vocab.getty.edu/aat/300043124
papierclips,
waterpomp,
strook zwarte stof,
elbow chairs,http://vocab.getty.edu/aat/300165321
boekenklem,
drumsticks (percussion beaters),http://vocab.getty.edu/aat/300042613
ribbon (material),http://vocab.getty.edu/aat/300014668
rekwest,
