filename,width,height,orientation
1074,600,740,Portrait
1078,800,592,landscape
1081,601,600,landscape
1082,600,681,Portrait
1091,800,589,landscape
1276,795,600,landscape
1284,800,541,landscape
1285,600,720,Portrait
1286,600,800,Portrait
1287,800,595,landscape
1288,796,600,landscape
1289,799,600,landscape
1290,795,600,landscape
1291,800,594,landscape
1292,597,800,Portrait
1293,600,753,Portrait
1294,600,739,Portrait
1295,600,774,Portrait
1296,600,729,Portrait
1299,535,800,Portrait
1300,576,800,Portrait
1301,600,611,Portrait
1305,600,738,Portrait
1306,572,800,Portrait
1307,737,600,landscape
1308,741,600,landscape
1309,600,677,Portrait
1310,600,672,Portrait
1327,649,600,landscape
1328,600,777,Portrait
1336,600,750,Portrait
1337,755,600,landscape
1351,417,800,Portrait
1352,600,677,Portrait
1358,744,600,landscape
1359,542,800,Portrait
1361,600,672,Portrait
1362,600,677,Portrait
1365,600,798,Portrait
1366,600,784,Portrait
1371,535,800,Portrait
1388,600,777,Portrait
1390,698,600,landscape
1391,698,600,landscape
1392,520,800,Portrait
1394,680,600,landscape
1396,761,600,landscape
1399,600,672,Portrait
1401,574,800,Portrait
1402,600,745,Portrait
1403,498,800,Portrait
1405,600,666,Portrait
1410,735,600,landscape
1433,600,798,Portrait
1434,582,800,Portrait
1435,590,800,Portrait
1436,718,600,landscape
1437,719,600,landscape
1440,600,717,Portrait
1445,600,767,Portrait
1447,600,700,Portrait
1448,600,781,Portrait
1452,600,738,Portrait
1453,282,800,Portrait
1458,516,800,Portrait
1461,774,600,landscape
1463,577,800,Portrait
1475,600,763,Portrait
1476,600,787,Portrait
1477,595,800,Portrait
1478,581,800,Portrait
1479,600,790,Portrait
1480,754,600,landscape
1485,550,800,Portrait
1486,779,600,landscape
1507,559,800,Portrait
1511,558,800,Portrait
1512,559,800,Portrait
1514,600,603,Portrait
1515,602,600,landscape
1516,600,610,Portrait
1517,628,600,landscape
1518,602,600,landscape
1519,600,600,square
1531,600,800,Portrait
1534,576,800,Portrait
1541,788,600,landscape
1542,795,600,landscape
1559,518,800,Portrait
1566,800,569,landscape
1567,600,718,Portrait
1571,452,800,Portrait
1573,568,800,Portrait
1578,489,800,Portrait
1579,444,800,Portrait
1582,600,712,Portrait
1594,601,600,landscape
1596,579,800,Portrait
1597,600,748,Portrait
1598,600,602,Portrait
1599,600,699,Portrait
1601,702,600,landscape
1626,767,600,landscape
1641,541,800,Portrait
1642,800,526,landscape
1646,800,552,landscape
1703,578,800,Portrait
1704,575,800,Portrait
1705,579,800,Portrait
1706,577,800,Portrait
1707,573,800,Portrait
1708,575,800,Portrait
1709,580,800,Portrait
1710,571,800,Portrait
1711,573,800,Portrait
1712,576,800,Portrait
1722,800,584,landscape
1723,576,800,Portrait
1725,600,605,Portrait
