"File","rdf:RDF - edm:ProvidedCHO - rdf:about","dc:type_literal","rdf:RDF - edm:ProvidedCHO - dc:type - skos:Concept - rdf:about","rdf:RDF - edm:ProvidedCHO - dcterms:medium","rdf:RDF - edm:ProvidedCHO - dcterms:medium - rdf:resource","dcterms:medium_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique - rdf:resource","edmfp:technique_URI","rdf:RDF - edm:ProvidedCHO - edmfp:technique","rdf:RDF - edm:ProvidedCHO - dcterms:provenance","rdf:RDF - edm:ProvidedCHO - dc:date","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:creator - edm:Agent - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dc:creator - edm:Agent - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dc:description - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:description","rdf:RDF - edm:ProvidedCHO - dc:identifier","rdf:RDF - edm:ProvidedCHO - dc:title - xml:lang","rdf:RDF - edm:ProvidedCHO - dc:title","rdf:RDF - edm:ProvidedCHO - edm:type","rdf:RDF - edm:ProvidedCHO - dcterms:created - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:created","rdf:RDF - edm:ProvidedCHO - mrel:dsr - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - mrel:dsr - edm:Agent - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dcterms:spatial - edm:Place - skos:prefLabel - xml:lang","rdf:RDF - edm:ProvidedCHO - dcterms:spatial - edm:Place - skos:prefLabel","rdf:RDF - edm:ProvidedCHO - dcterms:isPartOf","rdf:RDF - edm:ProvidedCHO - mrel:spn - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - rdf:about","rdf:RDF - ore:Aggregation - edm:aggregatedCHO - rdf:resource","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel - xml:lang","rdf:RDF - ore:Aggregation - edm:dataProvider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:isShownAt - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - rdf:about","rdf:RDF - ore:Aggregation - edm:provider - edm:Agent - skos:prefLabel","rdf:RDF - ore:Aggregation - edm:rights - rdf:resource","rdf:RDF - ore:Aggregation - edm:hasView - edm:WebResource - rdf:about","rdf:RDF - ore:Aggregation - edm:isShownBy - edm:WebResource - rdf:about"
"22-11-18_13:54:06/Item_34559574.xml","https://modemuze.nl/localID/europeana-fashion/BK0099","kledingaccessoire","http://thesaurus.europeanafashion.eu/thesaurus/10132","bezemtwijgjes","","","","","","1987","1987","nl","Tas, Jenna","Tas, Jenna","nl","Zwarte, ronde cirkel waarop zwarte, dunne twijgjes in dunne bundeltjes bevestigd, die ca. 15 cm uitsteken aan de onderzijde. Elk bundeltje heeft een ronding naar links, waardoor de cirkelvorm van de kraag benadrukt wordt. ","BK0099","nl","Kraag","IMAGE","nl","1987","","","","","Overspel? De relatie tussen kunst en vormgeving","","localID/europeana-fashion/Aggregation_BK0099","localID/europeana-fashion/BK0099","nl","TextielMuseum","https://textielmuseum.nl/collectie/objecten?diw-id=brabantcloud_textielmuseum-objecten_BK0099","http://www.europeanafashion.eu/","Europeana Fashion","http://rightsstatements.org/vocab/InC/1.0/","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=prof/BK0099.jpg","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=prof/BK0099.jpg"
"22-11-18_13:54:06/Item_34559574.xml","","kraag (kleding)","http://thesaurus.europeanafashion.eu/thesaurus/10058","bitumen","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300012976","","","","aankoop","","","","","","","","","","","","","","","","","Overspel? De relatie tussen kunst en vormgeving","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559574.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10132","vlieseline","","","","","","","","","","","","","","","","","","","","","","","Body Jewels","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559574.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10058","was","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559574.xml","","","","bezemtwijgjes","http://thesaurus.europeanafashion.eu/thesaurus/10353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559574.xml","","","","bitumen","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300012976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559574.xml","","","","vlieseline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559574.xml","","","","was","http://thesaurus.europeanafashion.eu/thesaurus/10586","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","https://modemuze.nl/localID/europeana-fashion/BK0106","kledingaccessoire","http://thesaurus.europeanafashion.eu/thesaurus/10132","foto","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300046300","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300179099","gemengde techniek","1993","1989","nl","Hartman, Petra","Hartman, Petra","nl","Gesigneerd (achterzijde) 'Hartman'. ","BK0106","nl","'Two sisters bag'","IMAGE","nl","1989","","","","","Overspel? De relatie tussen kunst en vormgeving","","localID/europeana-fashion/Aggregation_BK0106","localID/europeana-fashion/BK0106","nl","TextielMuseum","https://textielmuseum.nl/collectie/objecten?diw-id=brabantcloud_textielmuseum-objecten_BK0106","http://www.europeanafashion.eu/","Europeana Fashion","http://rightsstatements.org/vocab/InC/1.0/","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=prof/BK0106-01.jpg","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=prof/BK0106-01.jpg"
"22-11-18_13:54:06/Item_34559575.xml","","tas","http://thesaurus.europeanafashion.eu/thesaurus/10134","verf","","","http://thesaurus.europeanafashion.eu/thesaurus/10366","","gemengde techniek","aankoop","","","","","","","","","","","","","","","","","Overspel? De relatie tussen kunst en vormgeving","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10132","glas","","","","","","subsidie Provincie Noord-Brabant","","","","","","","","","","","","","","","","","Mooie Stukken : 40 Tilbugers kiezen uit 40 jaar collectie Nederlands Textielmuseum","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10134","ijzer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","","katoen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","","plastic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","","foto","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300046300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","","verf","http://thesaurus.europeanafashion.eu/thesaurus/10602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","","glas","http://thesaurus.europeanafashion.eu/thesaurus/10557","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","","ijzer","http://thesaurus.europeanafashion.eu/thesaurus/10552","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","","katoen","http://thesaurus.europeanafashion.eu/thesaurus/10354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559575.xml","","","","plastic","http://thesaurus.europeanafashion.eu/thesaurus/10597","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559576.xml","https://modemuze.nl/localID/europeana-fashion/BK0109","kledingaccessoire","http://thesaurus.europeanafashion.eu/thesaurus/10132","textiel","","","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300053343","beschilderd","1986","1984","nl","Wolf, Lam de","Wolf, Lam de","nl","Draagbaar object dat als collier enkele malen rond de hals kan worden gedraaid, of als wandobject kan worden opgehangen, waarbij de slingers naar beneden hangen, of als rolletje in een vitrine. ","BK0109","nl","'Draagbaar objekt-rechthoek'","IMAGE","nl","1984","nl","ontwerper","","","Overspel? De relatie tussen kunst en vormgeving","","localID/europeana-fashion/Aggregation_BK0109","localID/europeana-fashion/BK0109","nl","TextielMuseum","https://textielmuseum.nl/collectie/objecten?diw-id=brabantcloud_textielmuseum-objecten_BK0109","http://www.europeanafashion.eu/","Europeana Fashion","http://rightsstatements.org/vocab/InC/1.0/","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=reg/BK0109.jpg","http://textielmuseum.adlibhosting.com/apiimages/wwwopac.ashx?command=getcontent&server=images&value=reg/BK0109.jpg"
"22-11-18_13:54:06/Item_34559576.xml","","sieraad","http://thesaurus.europeanafashion.eu/thesaurus/10152","textiel","","","","http://vocab.getty.edu/http://vocab.getty.edu/aat/300053343","beschilderd","aankoop","","","","","","","","","","","","","","","","","Overspel? De relatie tussen kunst en vormgeving","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559576.xml","","halssieraad","http://thesaurus.europeanafashion.eu/thesaurus/10162","","","","","","","subsidie WVC","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559576.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22-11-18_13:54:06/Item_34559576.xml","","","http://thesaurus.europeanafashion.eu/thesaurus/10152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
